year,value
1960,137130
1961,142610
1962,150620
1963,163800
1964,183480
1965,198850
1966,217780
1967,228090
1968,252500
1969,286820
1970,329390
1971,366140
1972,432870
1973,594970
1974,861180
1975,911950
1976,1025750
1977,1170510
1978,1358430
1979,1693680
1980,2077185.555
1981,2070487.247
1982,1943872.989
1983,1891557.897
1984,2015654.524
1985,2015515.632
1986,2207607.492
1987,2583722.88
1988,2965272.511
1989,3205459.461
1990,3599974.632
1991,3628448.802
1992,3900517.296
1993,3894426.373
1994,4428573.104
1995,5285271.993
1996,5547270.01
1997,5738660.159
1998,5682580.257
1999,5926280.542
2000,6723129.317
2001,6481917.346
2002,6741108.693
2003,7866602.949
2004,9574521.439
2005,10870370.27
2006,12461133.68
2007,14347836.24
2008,16595285.37
2009,12801829.91
2010,15532568.65
2011,18526597.17
2012,18738651.01
2013,19049526.85
2014,19130685.17
